#Powered_by_ParaTranz;;;;;;;;;;;;;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;x
LEDGER_COUNTRY_NAME;¹ú¼Ò;;;;;;;;;;;;x
LEDGER_COUNTRY_MILSCORE;¾üÊÂ·ÖÊý;;;;;;;;;;;;x
LEDGER_COUNTRY_INDSCORE;¹¤Òµ·ÖÊý;;;;;;;;;;;;x
LEDGER_COUNTRY_PRESTIGE;ÍþÍû;;;;;;;;;;;;x
LEDGER_COUNTRY_TOTALSCORE;×Ü·ÖÊý;;;;;;;;;;;;x
LEDGER_HEADER_PROVINCES;Ê¡·Ý;;;;;;;;;;;;x
LEDGER_PROVINCE_NAME;Ê¡·Ý;;;;;;;;;;;;x
LEDGER_PROVINCE_TOTALPOP;×ÜÈË¿Ú;;;;;;;;;;;;x
LEDGER_PROVINCE_AVGMIL;Æ½¾ù¶·ÕùÐÔ;;;;;;;;;;;;x
LEDGER_PROVINCE_AVGCON;Æ½¾ù¾õÐÑ¶È;;;;;;;;;;;;x
LEDGER_PROVINCE_AVGLIT;Æ½¾ùÊ¶×ÖÂÊ;;;;;;;;;;;;x
LEDGER_PROVINCE_RELIGION;×Ú½Ì;;;;;;;;;;;;x
LEDGER_PROVINCE_CULTURE;ÎÄ»¯;;;;;;;;;;;;x
LEDGER_PROVINCE_ISSUE;Õþ¼û;;;;;;;;;;;;x
LEDGER_PROVINCE_IDEOLOGY;ÒâÊ¶ÐÎÌ¬;;;;;;;;;;;;x
LEDGER_HEADER_PROVINCE_POPS;Ê¡·ÝÈË¿Ú;;;;;;;;;;;;x
LEDGER_HEADER_ARMY;¾ü¶Ó;;;;;;;;;;;;x
LEDGER_ARMY_NAME;¾ü¶Ó;;;;;;;;;;;;x
LEDGER_ARMY_INFANTRY;²½±ø;;;;;;;;;;;;x
LEDGER_ARMY_CAVALRY;Æï±ø;;;;;;;;;;;;x
LEDGER_ARMY_ARTILLERY;ÅÚ±ø;;;;;;;;;;;;x
LEDGER_HEADER_GOODS_PRICEHISTORY;¼Û¸ñÀúÊ·;;;;;;;;;;;;x
LEDGER_COUNTRY_STATUS;µØÎ»;;;;;;;;;;;;x
LEDGER_HEADER_COUNTRYCOMPARE;¹ú¼Ò¶Ô±È;;;;;;;;;;;;x
LEDGER_COUNTRY_TOTAL_POP;×ÜÈË¿Ú;;;;;;;;;;;;x
LEDGER_COUNTRY_PROVCOUNT;Ê¡·Ý;;;;;;;;;;;;x
LEDGER_COUNTRY_FACTORYCOUNT;¹¤³§;;;;;;;;;;;;x
LEDGER_COUNTRY_LITERACY;Ê¶×ÖÂÊ;;;;;;;;;;;;x
LEDGER_COUNTRY_LEADERSHIP;Áìµ¼Á¦;;;;;;;;;;;;x
LEDGER_COUNTRY_DIVISIONS;²½±øÂÃ;;;;;;;;;;;;x
LEDGER_COUNTRY_SHIPS;º£¾ü½¢´¬;;;;;;;;;;;;x
LEDGER_HEADER_COUNTRYPARTY;ÕþÖÎÖÆ¶È;;;;;;;;;;;;x
LEDGER_COUNTRY_GOVERNMENT;ÕþÌå;;;;;;;;;;;;x
LEDGER_COUNTRY_NATIONALVALUE;¹ú¼Ò¼ÛÖµ;;;;;;;;;;;;x
LEDGER_COUNTRY_RULINGPARTY;Ö´Õþµ³;;;;;;;;;;;;x
LEDGER_COUNTRY_RULINGIDEOLOGY;Ö´Õþµ³ÒâÊ¶ÐÎÌ¬;;;;;;;;;;;;x
LEDGER_HEADER_COUNTRYPOLITICALREFORMS;ÕþÖÎ¸Ä¸ï;;;;;;;;;;;;x
LEDGER_HEADER_COUNTRYSOCIALREFORMS;Éç»á¸Ä¸ï;;;;;;;;;;;;x
LEDGER_HEADER_COUNTRY_POPS;¹ú¼ÒÈË¿Ú;;;;;;;;;;;;x
LEDGER_HEADER_PROVINCEPRODUCTION;Ê¡·ÝÉú²ú;;;;;;;;;;;;x
LEDGER_STATE_NAME;µØÇø;;;;;;;;;;;;x
LEDGER_GOODS;Îï×Ê;;;;;;;;;;;;x
LEDGER_OUTPUT;²úÁ¿;;;;;;;;;;;;x
LEDGER_INCOME;ÊÕÒæ;;;;;;;;;;;;x
LEDGER_EMPLOYED;¹ÍÓ¶¹¤ÈË;;;;;;;;;;;;x
LEDGER_LEVEL;µÈ¼¶;;;;;;;;;;;;x
LEDGER_HEADER_FACTORYPRODUCTION;¹¤³§Éú²ú;;;;;;;;;;;;x
BUDGET;²ÆÕþ;;;;;;;;;;;;x
BUDGET_TAX_POOR;Ë°ÊÕ£¨Æ¶À§½×²ã£©;;;;;;;;;;;;x
BUDGET_TAX_POOR_DESC;;;;;;;;;;;;;x
